Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Royce Freeman,0,0,0,0,0,0,15,71,0,0,0,0,0,0,0,0,0
2016,2,Royce Freeman,0,0,0,0,0,0,8,28,1,0,0,0,0,0,0,0,0
2016,3,Royce Freeman,0,0,0,0,0,0,13,53,1,0,0,1,5,0,0,0,0
2016,4,Royce Freeman,0,0,0,0,0,0,8,67,1,0,0,0,0,0,0,0,0
2016,5,Royce Freeman,0,0,0,0,0,0,5,31,0,0,0,3,16,0,0,0,0
2016,6,Royce Freeman,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0
2016,7,Royce Freeman,0,0,0,0,0,0,13,37,1,0,0,0,0,0,0,0,0
2016,11,Royce Freeman,0,0,0,0,0,0,7,23,1,0,0,1,7,0,0,0,0
2016,12,Royce Freeman,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0
2016,13,Royce Freeman,0,0,0,0,0,0,12,48,0,0,0,0,0,0,0,0,1
2016,14,Royce Freeman,0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0
2016,15,Royce Freeman,0,0,0,0,0,0,4,7,0,0,0,1,1,0,0,0,0
2016,16,Royce Freeman,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0
2016,17,Royce Freeman,0,0,0,0,0,0,17,60,0,0,0,8,43,0,0,0,0
