Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,2,53,1,0,0,0
2017,2,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2017,4,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,5,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2017,6,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2017,7,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2017,8,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2017,9,Russell Shepard,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
2017,10,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
2017,13,Russell Shepard,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,1
2017,14,Russell Shepard,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
