Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Russell Wilson,33,298,3,2,0,0,2,5,0,0,0,0,0,0,0,0,2
2016,2,Russell Wilson,36,226,2,1,0,0,3,17,0,0,0,0,0,0,0,0,2
2016,3,Russell Wilson,26,192,2,0,0,0,2,-1,0,0,0,0,0,0,0,0,1
2016,4,Russell Wilson,26,172,0,0,0,0,4,21,0,0,0,0,0,0,0,0,1
2016,5,Russell Wilson,21,198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Russell Wilson,23,222,3,1,0,0,6,20,0,0,0,0,0,0,0,0,1
2016,8,Russell Wilson,17,248,3,0,0,0,2,15,0,0,0,0,0,0,0,0,0
2016,9,Russell Wilson,39,235,2,1,0,0,5,41,0,0,0,0,0,0,0,0,1
2016,10,Russell Wilson,26,176,3,0,0,0,9,92,0,0,0,0,0,0,0,0,1
2016,11,Russell Wilson,31,225,2,0,0,0,5,17,0,0,0,1,-11,0,0,0,0
2016,12,Russell Wilson,31,339,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0
2016,13,Russell Wilson,17,185,4,0,0,0,4,14,0,0,0,0,0,0,0,0,0
2016,14,Russell Wilson,20,72,0,1,1,1,7,61,0,0,0,0,0,0,0,0,0
2016,15,Russell Wilson,31,237,2,0,0,0,5,15,0,0,0,0,0,0,0,0,1
2016,16,Russell Wilson,29,271,3,0,0,0,8,57,0,0,0,0,0,0,0,0,0
2016,17,Russell Wilson,21,152,1,1,0,0,2,-2,0,0,0,0,0,0,0,0,0
