Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Ryan Fitzpatrick,35,189,2,1,0,0,4,15,0,0,0,0,0,0,0,0,1
2016,2,Ryan Fitzpatrick,34,374,1,0,0,0,5,21,0,0,0,0,0,0,0,0,1
2016,3,Ryan Fitzpatrick,44,188,0,6,0,0,3,22,0,0,0,0,0,0,0,0,1
2016,4,Ryan Fitzpatrick,41,261,1,3,0,0,2,5,0,0,0,0,0,0,0,0,1
2016,5,Ryan Fitzpatrick,38,255,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1
2016,6,Ryan Fitzpatrick,31,174,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
2016,7,Ryan Fitzpatrick,14,120,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,8,Ryan Fitzpatrick,34,228,1,0,0,0,4,13,0,0,0,0,0,0,0,0,0
2016,9,Ryan Fitzpatrick,28,193,1,2,0,0,3,26,0,0,0,0,0,0,0,0,2
2016,12,Ryan Fitzpatrick,32,269,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2016,13,Ryan Fitzpatrick,12,81,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0
2016,15,Ryan Fitzpatrick,10,31,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0
2016,16,Ryan Fitzpatrick,21,136,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0
2016,17,Ryan Fitzpatrick,30,210,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
