Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Ryan Switzer,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
2017,2,Ryan Switzer,0,0,0,0,0,0,2,5,0,0,0,1,14,0,0,0,0
2017,3,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0
2017,4,Ryan Switzer,0,0,0,0,0,0,1,1,0,0,0,7,32,0,0,0,0
2017,5,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,6,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2017,9,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
2017,10,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
2017,11,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2017,12,Ryan Switzer,0,0,0,0,0,0,1,4,0,0,0,6,67,0,0,0,2
2017,13,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
2017,14,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,15,Ryan Switzer,0,0,0,0,0,0,1,3,0,0,0,2,9,0,0,0,0
2017,16,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
2017,17,Ryan Switzer,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
