Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Ryan Tannehill,29,186,0,0,0,0,5,17,1,0,0,0,0,0,0,0,1
2016,2,Ryan Tannehill,45,389,2,2,0,0,6,35,0,0,0,0,0,0,0,0,1
2016,3,Ryan Tannehill,39,319,3,2,0,0,1,2,0,0,0,0,0,0,0,0,1
2016,4,Ryan Tannehill,25,189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,5,Ryan Tannehill,18,191,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Ryan Tannehill,32,252,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2016,7,Ryan Tannehill,25,204,1,0,1,1,6,21,0,0,0,0,0,0,0,0,0
2016,9,Ryan Tannehill,28,149,1,0,0,0,2,-3,0,0,0,0,0,0,0,0,0
2016,10,Ryan Tannehill,24,240,2,0,0,0,3,16,0,0,0,0,0,0,0,0,1
2016,11,Ryan Tannehill,34,172,2,1,0,0,2,19,0,0,0,0,0,0,0,0,0
2016,12,Ryan Tannehill,30,285,3,0,0,0,6,34,0,0,0,0,0,0,0,0,0
2016,13,Ryan Tannehill,40,226,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1
2016,14,Ryan Tannehill,20,195,3,1,0,0,5,20,0,0,0,0,0,0,0,0,3
