Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Sam Darnold,21,198,2,1,0,0,6,-1,0,0,0,0,0,0,0,0,0
2017,2,Sam Darnold,41,334,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1
2017,3,Sam Darnold,31,169,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4,Sam Darnold,34,167,1,0,1,0,2,8,0,0,0,0,0,0,0,0,0
2017,5,Sam Darnold,22,198,3,1,0,0,3,5,0,0,0,0,0,0,0,0,0
2017,6,Sam Darnold,30,280,2,1,0,0,6,8,0,0,0,0,0,0,0,0,0
2017,7,Sam Darnold,42,206,1,3,0,0,6,18,1,0,0,0,0,0,0,0,2
2017,8,Sam Darnold,29,153,1,0,0,0,5,22,0,0,0,0,0,0,0,0,1
2017,9,Sam Darnold,39,229,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,14,Sam Darnold,24,170,1,1,0,0,4,10,0,0,0,0,0,0,0,0,0
2017,15,Sam Darnold,38,253,2,0,0,0,6,35,0,0,0,0,0,0,0,0,0
2017,16,Sam Darnold,35,341,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0
2017,17,Sam Darnold,28,167,0,0,0,0,1,28,0,0,0,0,0,0,0,0,1
