Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Samaje Perine,0,0,0,0,0,0,21,67,0,0,0,1,0,0,0,0,0
2017,3,Samaje Perine,0,0,0,0,0,0,19,49,0,0,0,1,6,0,0,0,1
2017,4,Samaje Perine,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0
2017,6,Samaje Perine,0,0,0,0,0,0,9,23,0,0,0,3,24,1,0,0,0
2017,9,Samaje Perine,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0
2017,10,Samaje Perine,0,0,0,0,0,0,9,35,0,0,0,1,25,0,0,0,0
2017,11,Samaje Perine,0,0,0,0,0,0,23,117,1,0,0,1,9,0,0,0,0
2017,12,Samaje Perine,0,0,0,0,0,0,24,100,0,0,0,3,30,0,0,0,0
2017,13,Samaje Perine,0,0,0,0,0,0,12,38,0,0,0,3,31,0,0,0,0
2017,14,Samaje Perine,0,0,0,0,0,0,17,45,0,0,0,4,7,0,0,0,0
2017,15,Samaje Perine,0,0,0,0,0,0,14,37,0,0,0,2,29,0,0,0,0
2017,16,Samaje Perine,0,0,0,0,0,0,17,53,0,0,0,3,21,0,0,0,1
2017,17,Samaje Perine,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
