Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
2017,2,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
2017,3,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,6,106,2,0,0,0
2017,4,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
2017,6,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,7,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
2017,9,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,1,67,1,0,0,0
2017,10,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,2,41,1,0,0,0
2017,11,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
2017,12,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,4,82,1,0,0,0
2017,13,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0
2017,14,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
2017,15,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2017,16,Sammy Watkins,0,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
