Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Saquon Barkley,0,0,0,0,0,0,18,106,1,1,0,2,22,0,0,0,0
2016,2,Saquon Barkley,0,0,0,0,0,0,11,28,0,0,0,14,80,0,0,0,0
2016,3,Saquon Barkley,0,0,0,0,0,0,17,82,1,0,0,5,35,0,0,0,0
2016,4,Saquon Barkley,0,0,0,0,0,0,10,44,1,0,0,6,56,0,0,0,0
2016,5,Saquon Barkley,0,0,0,0,0,0,15,48,0,0,0,4,81,2,0,0,0
2016,6,Saquon Barkley,0,0,0,0,0,0,13,130,1,0,0,9,99,0,0,0,0
2016,7,Saquon Barkley,0,0,0,0,0,0,14,43,1,1,1,9,51,0,0,0,0
2016,8,Saquon Barkley,0,0,0,0,0,0,13,38,0,0,0,9,73,0,0,0,0
2016,10,Saquon Barkley,0,0,0,0,0,0,20,67,0,0,0,4,33,0,0,0,0
2016,11,Saquon Barkley,0,0,0,0,0,0,27,142,2,0,0,2,10,1,0,0,0
2016,12,Saquon Barkley,0,0,0,0,0,0,13,101,1,0,0,7,41,1,0,0,0
2016,13,Saquon Barkley,0,0,0,0,0,0,24,125,0,0,0,3,21,0,0,0,0
2016,14,Saquon Barkley,0,0,0,0,0,0,14,170,1,0,0,4,27,0,0,0,0
2016,15,Saquon Barkley,0,0,0,0,0,0,14,31,0,0,0,4,25,0,0,0,0
2016,16,Saquon Barkley,0,0,0,0,0,0,21,43,1,0,0,5,34,0,0,0,0
2016,17,Saquon Barkley,0,0,0,0,0,0,17,109,1,0,0,4,33,0,0,0,0
