Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
2017,2,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0
2017,3,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
2017,4,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2017,5,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2017,6,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0
2017,7,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
2017,8,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,10,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,4,70,0,0,0,1
2017,11,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2017,12,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
2017,13,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
2017,14,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
2017,15,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
2017,16,Seth DeValve,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0
