Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Sony Michel,0,0,0,0,0,0,10,34,0,0,0,1,7,0,0,0,0
2017,3,Sony Michel,0,0,0,0,0,0,14,50,0,0,0,1,-1,0,0,0,0
2017,4,Sony Michel,0,0,0,0,0,0,25,112,1,0,0,0,0,0,0,0,0
2017,5,Sony Michel,0,0,0,0,0,0,18,98,1,0,0,1,12,0,0,0,0
2017,6,Sony Michel,0,0,0,0,0,0,24,106,2,0,0,0,0,0,0,0,0
2017,7,Sony Michel,0,0,0,0,0,0,4,22,0,0,0,1,13,0,0,0,1
2017,10,Sony Michel,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0
2017,12,Sony Michel,0,0,0,0,0,0,21,133,1,0,0,2,12,0,0,0,0
2017,13,Sony Michel,0,0,0,0,0,0,17,63,0,0,0,1,7,0,0,0,0
2017,14,Sony Michel,0,0,0,0,0,0,20,57,0,0,0,0,0,0,0,0,0
2017,15,Sony Michel,0,0,0,0,0,0,13,59,0,0,0,0,0,0,0,0,0
2017,16,Sony Michel,0,0,0,0,0,0,18,116,1,0,0,0,0,0,0,0,0
2017,17,Sony Michel,0,0,0,0,0,0,14,50,0,0,0,0,0,0,0,0,0
