Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Spencer Ware,0,0,0,0,0,0,3,32,0,0,0,1,8,0,0,0,0
2017,2,Spencer Ware,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2017,3,Spencer Ware,0,0,0,0,0,0,1,1,0,0,0,2,29,0,0,0,0
2017,4,Spencer Ware,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
2017,5,Spencer Ware,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0
2017,6,Spencer Ware,0,0,0,0,0,0,2,5,0,0,0,2,9,0,0,0,0
2017,7,Spencer Ware,0,0,0,0,0,0,8,59,0,0,0,3,30,0,0,0,0
2017,9,Spencer Ware,0,0,0,0,0,0,2,12,0,0,0,4,69,0,0,0,0
2017,10,Spencer Ware,0,0,0,0,0,0,2,6,1,0,0,1,7,0,0,0,0
2017,13,Spencer Ware,0,0,0,0,0,0,14,47,1,0,0,1,5,0,0,0,0
2017,14,Spencer Ware,0,0,0,0,0,0,15,75,0,0,0,5,54,0,0,0,0
