Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
2016,2,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,8,117,0,0,0,0
2016,3,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,5,73,1,0,0,0
2016,4,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
2016,5,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2016,6,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
2016,7,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,0
2016,9,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0
2016,10,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0
2016,11,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,5,50,1,0,0,0
2016,12,Sterling Shepard,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0
2016,13,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,4,21,1,0,0,0
2016,14,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0
2016,15,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,4,56,1,0,0,0
2016,16,Sterling Shepard,0,0,0,0,0,0,1,2,0,0,0,7,61,1,0,0,0
2016,17,Sterling Shepard,0,0,0,0,0,0,1,7,0,0,0,3,30,0,0,0,0
