Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0
2018,2,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
2018,3,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
2018,4,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,4,115,0,0,0,0
2018,7,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,4,25,2,0,0,0
2018,8,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0
2018,10,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,3,77,0,0,0,0
2018,11,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,9,155,2,0,0,0
2018,12,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,7,125,0,0,0,0
2018,13,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,8,77,0,0,0,0
2018,14,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,9,199,0,0,0,0
2018,15,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0
2018,16,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,7,138,0,0,0,0
2018,17,T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0
