Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
2016,2,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
2016,3,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
2016,4,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2016,5,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
2016,6,Tajae Sharpe,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016,7,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0
2016,8,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2016,9,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
2016,10,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,3,68,1,0,0,0
2016,11,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,4,68,1,0,0,0
2016,12,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
2016,15,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
2016,16,Tajae Sharpe,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
