Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Tarik Cohen,0,0,0,0,0,0,5,25,0,0,0,3,16,0,0,0,0
2017,2,Tarik Cohen,0,0,0,0,0,0,4,8,0,0,0,1,17,0,0,0,0
2017,3,Tarik Cohen,0,0,0,0,0,0,5,53,0,0,0,3,15,0,0,0,0
2017,4,Tarik Cohen,0,0,0,0,0,0,13,53,0,0,0,7,121,1,0,0,0
2017,6,Tarik Cohen,0,0,0,0,0,0,5,31,1,0,0,7,90,0,0,0,1
2017,7,Tarik Cohen,0,0,0,0,0,0,6,14,0,0,0,8,69,1,0,0,0
2017,8,Tarik Cohen,0,0,0,0,0,0,5,40,0,0,0,1,70,1,0,0,1
2017,9,Tarik Cohen,0,0,0,0,0,0,6,5,0,0,0,1,8,0,0,0,1
2017,10,Tarik Cohen,0,0,0,0,0,0,7,15,1,0,0,6,29,0,0,0,0
2017,11,Tarik Cohen,0,0,0,0,0,0,7,27,0,0,0,3,23,0,0,0,1
2017,12,Tarik Cohen,0,0,0,0,0,0,3,14,0,0,0,7,45,1,0,0,0
2017,13,Tarik Cohen,1,1,1,0,0,0,8,30,0,0,0,12,156,0,0,0,1
2017,14,Tarik Cohen,0,0,0,0,0,0,9,69,0,0,0,4,20,0,0,0,0
2017,15,Tarik Cohen,0,0,0,0,0,0,5,24,0,0,0,5,31,1,0,0,1
2017,16,Tarik Cohen,0,0,0,0,0,0,6,12,0,0,0,1,7,0,0,0,0
2017,17,Tarik Cohen,0,0,0,0,0,0,5,24,1,0,0,2,8,0,0,0,1
