Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2016,3,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
2016,4,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
2016,6,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,8,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,3,68,1,0,0,0
2016,9,Taylor Gabriel,0,0,0,0,0,0,2,24,1,0,0,5,52,0,0,0,0
2016,10,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,1,76,1,0,0,0
2016,12,Taylor Gabriel,0,0,0,0,0,0,1,27,0,0,0,4,75,2,0,0,0
2016,13,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
2016,14,Taylor Gabriel,0,0,0,0,0,0,1,0,0,0,0,3,82,1,0,0,0
2016,15,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
2016,16,Taylor Gabriel,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
