Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Ted Ginn,0,0,0,0,0,0,1,5,0,0,0,4,53,0,0,0,0
2017,2,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
2017,3,Ted Ginn,0,0,0,0,0,0,1,15,0,0,0,2,44,1,0,0,0
2017,4,Ted Ginn,0,0,0,0,0,0,1,9,0,0,0,2,25,0,0,0,0
2017,6,Ted Ginn,0,0,0,0,0,0,1,3,0,0,0,4,66,1,0,0,0
2017,7,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,7,141,0,0,0,1
2017,8,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0
2017,9,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,1
2017,10,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2017,11,Ted Ginn,0,0,0,0,0,0,1,-12,0,0,0,6,87,0,0,0,0
2017,12,Ted Ginn,0,0,0,0,0,0,0,0,0,0,0,7,71,0,0,0,0
2017,13,Ted Ginn,0,0,0,0,0,0,1,6,0,0,0,2,27,0,0,0,0
2017,14,Ted Ginn,0,0,0,0,0,0,1,-3,0,0,0,2,10,0,0,0,0
2017,16,Ted Ginn,0,0,0,0,0,0,2,14,0,0,0,4,76,1,0,0,0
2017,17,Ted Ginn,0,0,0,0,0,0,1,2,0,0,0,3,33,0,0,0,0
