Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0
2016,2,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
2016,3,Terrelle Pryor,5,35,0,0,0,0,4,21,1,0,0,8,144,0,0,0,0
2016,4,Terrelle Pryor,0,0,0,0,0,0,1,-6,0,0,0,5,46,1,0,0,0
2016,5,Terrelle Pryor,3,5,0,0,0,0,2,3,0,0,0,5,48,0,1,0,1
2016,6,Terrelle Pryor,1,1,0,0,0,0,1,3,0,0,0,9,75,2,0,0,0
2016,7,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
2016,8,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,6,101,0,1,1,0
2016,9,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
2016,10,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
2016,11,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,5,97,0,0,0,0
2016,12,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,6,131,0,0,0,0
2016,14,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,15,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0
2016,16,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
2016,17,Terrelle Pryor,0,0,0,0,0,0,0,0,0,0,0,7,94,0,0,0,0
