Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Theo Riddick,0,0,0,0,0,0,1,-1,0,0,0,6,27,1,0,0,0
2017,2,Theo Riddick,0,0,0,0,0,0,9,20,0,0,0,3,17,0,0,0,0
2017,3,Theo Riddick,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
2017,4,Theo Riddick,0,0,0,0,0,0,4,4,0,0,0,1,8,0,0,0,0
2017,5,Theo Riddick,0,0,0,0,0,0,2,8,0,0,0,4,45,0,0,0,0
2017,6,Theo Riddick,0,0,0,0,0,0,2,8,0,0,0,5,45,0,0,0,0
2017,8,Theo Riddick,0,0,0,0,0,0,4,21,0,0,0,2,24,0,0,0,0
2017,9,Theo Riddick,0,0,0,0,0,0,5,11,0,0,0,4,62,0,0,0,0
2017,10,Theo Riddick,0,0,0,0,0,0,4,35,0,0,0,3,12,1,0,0,0
2017,11,Theo Riddick,0,0,0,0,0,0,9,35,0,0,0,1,4,0,0,0,0
2017,12,Theo Riddick,0,0,0,0,0,0,5,20,0,0,0,1,10,0,0,0,0
2017,13,Theo Riddick,0,0,0,0,0,0,9,21,1,0,0,5,41,0,0,0,0
2017,14,Theo Riddick,0,0,0,0,0,0,10,29,2,0,0,6,64,0,0,0,0
2017,15,Theo Riddick,0,0,0,0,0,0,8,49,0,0,0,3,12,0,0,0,1
2017,16,Theo Riddick,0,0,0,0,0,0,8,16,0,0,0,3,23,0,0,0,0
2017,17,Theo Riddick,0,0,0,0,0,0,4,10,0,0,0,2,12,0,0,0,0
