Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,5,Tom Brady,40,406,3,0,0,0,2,14,0,0,0,0,0,0,0,0,0
2016,6,Tom Brady,35,376,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2016,7,Tom Brady,26,222,2,0,0,0,5,13,0,0,0,0,0,0,0,0,0
2016,8,Tom Brady,33,315,4,0,0,0,1,15,0,0,0,0,0,0,0,0,0
2016,10,Tom Brady,32,316,0,1,0,0,5,7,0,0,0,0,0,0,0,0,1
2016,11,Tom Brady,40,280,4,0,0,0,4,12,0,0,0,0,0,0,0,0,0
2016,12,Tom Brady,50,286,2,0,1,0,3,-4,0,0,0,0,0,0,0,0,1
2016,13,Tom Brady,46,269,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2016,14,Tom Brady,38,406,3,1,0,0,1,-1,0,0,0,0,0,0,0,0,0
2016,15,Tom Brady,32,188,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2
2016,16,Tom Brady,27,214,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,17,Tom Brady,33,276,3,0,1,1,1,6,0,0,0,0,0,0,0,0,0
