Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Travis Benjamin,0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
2017,2,Travis Benjamin,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
2017,3,Travis Benjamin,0,0,0,0,0,0,1,9,0,0,0,5,105,0,0,0,0
2017,4,Travis Benjamin,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,1
2017,5,Travis Benjamin,0,0,0,0,0,0,1,14,0,0,0,2,18,0,0,0,0
2017,7,Travis Benjamin,0,0,0,0,0,0,1,4,0,0,0,1,42,1,0,0,0
2017,8,Travis Benjamin,0,0,0,0,0,0,2,14,0,0,0,5,64,1,0,0,1
2017,10,Travis Benjamin,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
2017,11,Travis Benjamin,0,0,0,0,0,0,1,7,0,0,0,1,21,0,0,0,0
2017,12,Travis Benjamin,0,0,0,0,0,0,1,6,0,0,0,3,50,0,0,0,0
2017,13,Travis Benjamin,0,0,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0
2017,14,Travis Benjamin,0,0,0,0,0,0,1,22,0,0,0,2,21,0,0,0,0
2017,15,Travis Benjamin,0,0,0,0,0,0,1,7,0,0,0,1,7,0,0,0,0
2017,16,Travis Benjamin,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,0
2017,17,Travis Benjamin,0,0,0,0,0,0,2,4,0,0,0,4,96,1,0,0,0
