Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Travis Kelce,0,0,0,0,0,0,1,4,0,0,0,5,40,0,0,0,0
2017,2,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,8,103,1,0,0,0
2017,3,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,4,Travis Kelce,0,0,0,0,0,0,1,3,0,0,0,7,111,1,0,0,0
2017,5,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,8,98,0,0,0,0
2017,6,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
2017,7,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,4,33,1,0,0,0
2017,8,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,7,133,1,0,0,0
2017,9,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,7,73,1,0,0,0
2017,11,Travis Kelce,1,0,0,1,0,0,0,0,0,0,0,8,109,0,0,0,0
2017,12,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0
2017,13,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,4,94,2,0,0,0
2017,14,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0
2017,15,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0
2017,16,Travis Kelce,0,0,0,0,0,0,0,0,0,0,0,4,47,1,0,0,0
