Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0
2016,3,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2016,5,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2016,6,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
2016,8,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,9,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0
2016,11,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
2016,12,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
2016,13,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
2016,14,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
2016,15,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2016,16,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,17,Trey Burton,0,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
