Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
2016,2,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,1
2016,3,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
2016,4,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2016,5,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
2016,6,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,4,79,0,0,0,0
2016,7,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2016,8,Tyler Boyd,0,0,0,0,0,0,1,3,0,0,0,5,38,0,0,0,0
2016,10,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
2016,11,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,6,54,1,0,0,0
2016,12,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
2016,13,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0
2016,14,Tyler Boyd,0,0,0,0,0,0,2,40,0,0,0,6,49,0,0,0,0
2016,15,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
2016,16,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
2016,17,Tyler Boyd,0,0,0,0,0,0,1,15,0,0,0,2,39,0,0,0,0
