Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
2016,3,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
2016,5,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
2016,8,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
2016,9,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
2016,10,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,0
2016,11,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,1
2016,13,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
2016,14,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
2016,15,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
2016,16,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
2016,17,Tyler Higbee,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0
