Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,3,59,1,0,0,0
2018,2,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,5,60,1,0,0,1
2018,3,Tyler Lockett,0,0,0,0,0,0,1,5,0,0,0,4,77,1,0,0,0
2018,4,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
2018,5,Tyler Lockett,0,0,0,0,0,0,1,6,0,0,0,3,98,1,0,0,0
2018,6,Tyler Lockett,0,0,0,0,0,0,1,7,0,0,0,3,13,1,0,0,0
2018,8,Tyler Lockett,0,0,0,0,0,0,2,13,0,0,0,2,34,1,0,0,0
2018,9,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2018,10,Tyler Lockett,0,0,0,0,0,0,1,18,0,0,0,5,67,1,0,0,0
2018,11,Tyler Lockett,0,0,0,0,0,0,1,1,0,0,0,5,71,0,0,0,0
2018,12,Tyler Lockett,0,0,0,0,0,0,1,-2,0,0,0,5,107,1,0,0,0
2018,13,Tyler Lockett,0,0,0,0,0,0,1,10,0,0,0,1,52,1,0,0,0
2018,14,Tyler Lockett,0,0,0,0,0,0,2,-3,0,0,0,5,42,0,1,1,0
2018,15,Tyler Lockett,0,0,0,0,0,0,1,11,0,0,0,2,45,0,0,0,0
2018,16,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,1
2018,17,Tyler Lockett,0,0,0,0,0,0,1,3,0,0,0,2,66,1,0,0,0
