Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2018,1,Tyreek Hill,0,0,0,0,0,0,2,4,0,0,0,7,169,2,0,0,0
2018,2,Tyreek Hill,0,0,0,0,0,0,0,0,0,0,0,5,90,1,0,0,0
2018,3,Tyreek Hill,0,0,0,0,0,0,2,5,0,0,0,2,51,0,0,0,0
2018,4,Tyreek Hill,0,0,0,0,0,0,1,2,0,0,0,9,54,0,0,0,0
2018,5,Tyreek Hill,0,0,0,0,0,0,2,26,0,0,0,4,61,0,0,0,0
2018,6,Tyreek Hill,0,0,0,0,0,0,1,0,0,0,0,7,142,3,0,0,0
2018,7,Tyreek Hill,0,0,0,0,0,0,2,8,0,0,0,7,68,1,0,0,0
2018,8,Tyreek Hill,0,0,0,0,0,0,0,0,0,0,0,3,70,0,0,0,0
2018,9,Tyreek Hill,0,0,0,0,0,0,2,16,0,0,0,4,69,0,0,0,0
2018,10,Tyreek Hill,0,0,0,0,0,0,1,20,0,0,0,7,117,2,0,0,0
2018,11,Tyreek Hill,0,0,0,0,0,0,0,0,0,0,0,10,215,2,0,0,0
2018,13,Tyreek Hill,0,0,0,0,0,0,2,37,0,0,0,1,13,0,0,0,0
2018,14,Tyreek Hill,0,0,0,0,0,0,1,6,0,0,0,8,139,0,0,0,0
2018,15,Tyreek Hill,0,0,0,0,0,0,3,-5,0,0,0,4,46,0,0,0,0
2018,16,Tyreek Hill,0,0,0,0,0,0,2,17,0,0,0,4,74,0,0,0,0
2018,17,Tyreek Hill,0,0,0,0,0,0,1,15,1,0,0,5,101,1,0,0,0
