Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,1,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0
2016,2,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0
2016,3,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
2016,4,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
2016,5,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,5,117,1,0,0,0
2016,6,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
2016,7,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,7,140,0,0,0,0
2016,8,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
2016,9,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
2016,10,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,5,125,1,0,0,0
2016,12,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,8,70,1,0,0,0
2016,13,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,2,47,1,0,0,0
2016,14,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0
2016,15,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
2016,16,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0
2016,17,Tyrell Williams,0,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0
