Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Tyrod Taylor,28,224,2,1,0,0,8,38,0,0,0,0,0,0,0,0,0
2017,2,Tyrod Taylor,25,125,0,0,0,0,8,55,0,0,0,0,0,0,0,0,0
2017,3,Tyrod Taylor,26,213,2,0,0,0,8,13,0,0,0,0,0,0,0,0,0
2017,4,Tyrod Taylor,20,182,1,0,0,0,7,12,0,0,0,0,0,0,0,0,0
2017,5,Tyrod Taylor,37,166,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0
2017,7,Tyrod Taylor,33,268,1,0,0,0,6,53,0,0,0,0,0,0,0,0,0
2017,8,Tyrod Taylor,27,165,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0
2017,9,Tyrod Taylor,40,285,2,0,0,0,6,35,1,0,0,0,0,0,0,0,2
2017,10,Tyrod Taylor,18,56,0,1,0,0,3,27,0,0,0,0,0,0,0,0,0
2017,11,Tyrod Taylor,25,158,1,0,0,0,4,38,1,0,0,0,0,0,0,0,1
2017,12,Tyrod Taylor,29,183,1,0,0,0,9,27,0,0,0,0,0,0,0,0,0
2017,13,Tyrod Taylor,18,65,0,1,0,0,3,32,0,0,0,0,0,0,0,0,0
2017,15,Tyrod Taylor,29,224,1,0,0,0,6,42,1,0,0,0,0,0,0,0,0
2017,16,Tyrod Taylor,38,281,0,0,0,0,3,16,0,0,0,0,0,0,0,0,1
2017,17,Tyrod Taylor,27,204,1,0,0,0,6,35,0,0,0,0,0,0,0,0,0
