Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,2,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
2017,3,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0
2017,4,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,89,0,0,0,0
2017,6,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,3,65,0,0,0,1
2017,7,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,4,67,0,0,0,0
2017,8,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
2017,9,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
2017,10,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
2017,11,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,3,67,0,0,0,0
2017,13,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2017,14,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0
2017,15,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,1
2017,16,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,42,1,0,0,0
2017,17,Vernon Davis,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
