Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Wayne Gallman,0,0,0,0,0,0,1,-1,0,0,0,2,9,0,0,0,0
2017,2,Wayne Gallman,0,0,0,0,0,0,1,2,0,0,0,1,11,0,0,0,0
2017,3,Wayne Gallman,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0
2017,4,Wayne Gallman,0,0,0,0,0,0,2,6,0,0,0,3,17,0,0,0,1
2017,6,Wayne Gallman,0,0,0,0,0,0,4,17,0,0,0,2,25,0,0,0,0
2017,8,Wayne Gallman,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
2017,10,Wayne Gallman,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2017,11,Wayne Gallman,0,0,0,0,0,0,2,11,0,0,0,2,24,0,0,0,1
2017,12,Wayne Gallman,0,0,0,0,0,0,5,25,0,0,0,2,-2,0,0,0,0
2017,13,Wayne Gallman,0,0,0,0,0,0,5,16,0,0,0,1,-2,0,0,0,0
2017,14,Wayne Gallman,0,0,0,0,0,0,14,38,0,0,0,0,0,0,0,0,0
2017,16,Wayne Gallman,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0
2017,17,Wayne Gallman,0,0,0,0,0,0,6,23,1,0,0,1,7,0,0,0,0
