Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,2,Wendell Smallwood,0,0,0,0,0,0,7,28,0,0,0,1,2,0,0,0,1
2016,3,Wendell Smallwood,0,0,0,0,0,0,10,56,1,0,0,3,35,0,0,0,0
2016,4,Wendell Smallwood,0,0,0,0,0,0,5,39,0,0,0,3,15,0,0,0,0
2016,5,Wendell Smallwood,0,0,0,0,0,0,3,27,0,1,1,3,44,1,0,0,0
2016,6,Wendell Smallwood,0,0,0,0,0,0,18,51,0,0,0,1,0,0,0,0,1
2016,7,Wendell Smallwood,0,0,0,0,0,0,9,32,0,0,0,2,5,0,0,0,0
2016,8,Wendell Smallwood,0,0,0,0,0,0,8,24,0,0,0,2,42,1,0,0,0
2016,10,Wendell Smallwood,0,0,0,0,0,0,2,4,0,0,0,3,30,0,0,0,0
2016,11,Wendell Smallwood,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0,0,0
2016,14,Wendell Smallwood,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2016,15,Wendell Smallwood,0,0,0,0,0,0,10,48,2,0,0,2,9,0,0,0,0
2016,16,Wendell Smallwood,0,0,0,0,0,0,1,3,0,0,0,4,24,0,0,0,0
2016,17,Wendell Smallwood,0,0,0,0,0,0,12,53,0,0,0,4,24,0,0,0,0
