Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,4,Will Fuller,0,0,0,0,0,0,1,4,0,0,0,4,35,2,0,0,0
2017,5,Will Fuller,0,0,0,0,0,0,1,5,0,0,0,2,57,2,1,0,0
2017,6,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,2,62,1,0,0,0
2017,8,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,5,125,2,0,0,0
2017,9,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
2017,10,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2017,14,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
2017,15,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0
2017,16,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
2017,17,Will Fuller,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
