Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0
2017,2,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,0
2017,3,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0
2017,4,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0
2017,5,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
2017,6,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
2017,7,Willie Snead,0,0,0,0,0,0,1,13,0,0,0,3,23,0,0,0,0
2017,8,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,0
2017,9,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,7,58,0,0,0,0
2017,11,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
2017,13,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
2017,14,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0
2017,15,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
2017,17,Willie Snead,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
