Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2017,1,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
2017,2,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,11,94,0,0,0,0
2017,3,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
2017,4,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,10,112,0,0,0,0
2017,5,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,10,110,1,0,0,0
2017,6,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,7,43,1,0,0,0
2017,7,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,9,138,0,0,0,0
2017,8,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,4,26,1,0,0,0
2017,10,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,14,145,2,0,0,0
2017,11,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
2017,12,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,7,91,1,0,0,0
2017,13,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,9,83,0,0,0,0
2017,14,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0
2017,15,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
2017,16,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,12,110,2,0,0,1
2017,17,Zach Ertz,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
