Year,Week,Player Name,Passing Attempts,Passing Yards,Passing Touchdowns,Passing Interceptions,Passing Two Point Attempts,Passing Two Point Made,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Rushing Two Point Attempts,Rushing Two Point Made,Receiving Attempts,Receiving Yards,Receiving Touchdowns,Receiving Two Point Attempts,Receiving Two Point Made,Fumbles
2016,4,Zach Zenner,0,0,0,0,0,0,3,12,0,0,0,1,22,0,0,0,0
2016,5,Zach Zenner,0,0,0,0,0,0,7,9,0,0,0,2,23,0,0,0,0
2016,6,Zach Zenner,0,0,0,0,0,0,14,58,0,0,0,2,19,0,0,0,0
2016,7,Zach Zenner,0,0,0,0,0,0,9,29,1,0,0,0,0,0,0,0,0
2016,8,Zach Zenner,0,0,0,0,0,0,3,2,0,0,0,1,5,0,0,0,0
2016,12,Zach Zenner,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,13,Zach Zenner,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0,0
2016,14,Zach Zenner,0,0,0,0,0,0,7,36,0,0,0,2,9,0,0,0,0
2016,15,Zach Zenner,0,0,0,0,0,0,3,12,0,0,0,4,52,0,0,0,1
2016,16,Zach Zenner,0,0,0,0,0,0,12,67,2,0,0,2,25,0,0,0,0
2016,17,Zach Zenner,0,0,0,0,0,0,20,69,1,0,0,4,41,0,0,0,0
