Name,College
Kyler Murray,Oklahoma
Will Grier,West Virginia
Dwayne Haskins,Ohio State
Drew Lock,Missouri
Daniel Jones,Duke
Darrell Henderson,Memphis
Darwin Thompson,Utah State
Trayveon Williams,Texas A&M
Elijah Holyfield,Georgia
Qadree Ollison,Pitt
Dexter Williams,Notre Dame
Travis Homer,Miami (FL)
Justice Hill,Oklahoma State
Jordan Scarlett,Florida
Miles Sanders,Penn State
Damien Harris,Alabama
Mike Weber,Ohio State
Alex Barnes,Kansas State
Karan Higdon,Michigan
Joshua Jacobs,Alabama
Devin Singletary,Florida Atlantic
Ryquell Armstead,Temple
Myles Gaskin,Washington
Damarea Crockett,Missouri
Alexander Mattison,Boise State
David Montgomery,Iowa State
Bryce Love,Stanford
Emanuel Hall,Missouri
Hakeem Butler,Iowa State
D.K. Metcalf,Ole Miss
Terry McLaurin,Ohio State
Darius Slayton,Auburn
Marquise Brown,Oklahoma
Jace Sternberger,Texas A&M
Travis Fulgham,Old Dominion
Gary Jennings,West Virginia
Andy Isabella,Massachusetts
Scott Miller,Bowling Green State
A.J. Brown,Ole Miss
Diontae Johnson,Toledo
T.J. Hockenson,Iowa
Mecole Hardman,Georgia
N'Keal Harry,Arizona State
Miles Boykin,Notre Dame
Kelvin Harmon,North Carolina State
Deebo Samuel,South Carolina
KeeSean Johnson,Fresno State
Trevon Wesco,West Virginia
Preston Williams,Colorado State
Jalen Hurd,Baylor
Noah Fant,Iowa
Riley Ridley,Georgia
Josh Oliver,San Jose State
Kahale Warring,San Diego State
Parris Campbell,Ohio State
Tony Pollard,Memphis
Jakobi Meyers,North Carolina State
Hunter Renfrow,Clemson
Austin Seibert,Oklahoma
Matt Gay,Utah
