Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Todd Gurley,LAR,RB,9,324.69,
2,Saquon Barkley,NYG,RB,11,296.58,
3,Melvin Gordon,LAC,RB,12,277.3,
4,Alvin Kamara,NO,RB,9,277.18,
5,Ezekiel Elliott,DAL,RB,8,268.34,
6,Christian McCaffrey,CAR,RB,7,233.27,
7,Antonio Brown,OAK,WR,6,237.44,
8,Le'Veon Bell,NYJ,RB,4,232.56,
9,Travis Kelce,KC,TE,12,180.03,
10,Tyreek Hill,KC,WR,12,216.32,
11,Davante Adams,GB,WR,11,214.1,
12,Phillip Lindsay,DEN,RB,10,208.83,
13,Leonard Fournette,JAC,RB,10,201.05,
14,DeAndre Hopkins,HOU,WR,10,203.35,
15,James Conner,PIT,RB,7,194.18,
16,Julio Jones,ATL,WR,9,192.66,Foot | Questionable for Week 1
17,Joe Mixon,CIN,RB,9,188.46,
18,David Johnson,ARI,RB,12,187.16,
19,Michael Thomas,NO,WR,9,187.15,
20,Zach Ertz,PHI,TE,10,152.56,
21,Nick Chubb,CLE,RB,7,177.16,
22,Mike Evans,TB,WR,7,179.43,Quadriceps | Questionable for Week 1
23,JuJu Smith-Schuster,PIT,WR,7,176.08,
24,Brandin Cooks,LAR,WR,9,175.45,
25,Jordan Howard,PHI,RB,10,172.08,
26,Chris Carson,SEA,RB,11,169.5,
27,Adam Thielen,MIN,WR,12,171.12,General Soreness | Questionable for Week 1
28,Odell Beckham,CLE,WR,7,171.0,Hip | Questionable for Week 1
29,Mark Ingram,BAL,RB,8,167.44,
30,Darrell Henderson,LAR,RB,9,166.96,
31,Deshaun Watson,HOU,QB,10,314.27,
32,Marlon Mack,IND,RB,6,164.82,
33,Matt Ryan,ATL,QB,9,311.76,
34,Stefon Diggs,MIN,WR,12,166.47,
35,Drew Brees,NO,QB,9,308.08,
36,T.Y. Hilton,IND,WR,6,165.32,
37,Dalvin Cook,MIN,RB,12,161.36,
38,Eric Ebron,IND,TE,6,136.43,
39,Sony Michel,NE,RB,10,160.27,
40,Tevin Coleman,SF,RB,4,160.08,
41,George Kittle,SF,TE,4,134.89,
42,A.J. Green,CIN,WR,9,161.96,Ankle | Doubtful for Week 1
43,James White,NE,RB,10,157.82,
44,Aaron Jones,GB,RB,11,157.3,
45,Aaron Rodgers,GB,QB,11,297.47,
46,Kerryon Johnson,DET,RB,5,154.63,
47,Keenan Allen,LAC,WR,12,157.36,
48,Robert Woods,LAR,WR,9,155.94,
49,Patrick Mahomes,KC,QB,12,287.34,
50,David Montgomery,CHI,RB,6,150.71,
51,O.J. Howard,TB,TE,7,126.72,
52,Marquise Brown,BAL,WR,8,151.15,
53,Calvin Ridley,ATL,WR,9,150.52,
54,Ben Roethlisberger,PIT,QB,7,279.15,
55,LeSean McCoy,BUF,RB,6,144.98,
56,Russell Wilson,SEA,QB,11,274.54,
57,Alshon Jeffery,PHI,WR,10,146.65,
58,Devin Singletary,BUF,RB,6,143.25,
59,Cooper Kupp,LAR,WR,9,145.75,Knee | Questionable for Week 1
60,Trayveon Williams,CIN,RB,9,142.1,Foot | Questionable for Week 1
61,Evan Engram,NYG,TE,11,119.91,
62,Philip Rivers,LAC,QB,12,268.48,
63,Tom Brady,NE,QB,10,267.58,
64,Emmanuel Sanders,DEN,WR,10,143.58,
65,Miles Sanders,PHI,RB,10,140.66,
66,Derrick Henry,TEN,RB,11,139.8,Calf | Questionable for Week 1
67,Andrew Luck,IND,QB,6,264.78,
68,Julian Edelman,NE,WR,10,140.63,
69,Tarik Cohen,CHI,RB,6,137.34,
70,Dak Prescott,DAL,QB,8,259.91,
71,A.J. Brown,TEN,WR,11,138.31,
72,Myles Gaskin,MIA,RB,5,135.78,
73,Kirk Cousins,MIN,QB,12,256.49,
74,Carson Wentz,PHI,QB,10,256.22,
75,Kenyan Drake,MIA,RB,5,135.04,
76,Cam Newton,CAR,QB,7,254.88,Foot | Questionable for Week 1
77,Tyler Lockett,SEA,WR,11,136.54,
78,Jarvis Landry,CLE,WR,7,136.53,
79,Will Fuller,HOU,WR,10,136.28,Undisclosed | Questionable for Week 1
80,Justice Hill,BAL,RB,8,131.84,
81,Adrian Peterson,WAS,RB,10,131.78,
82,Jared Goff,LAR,QB,9,249.49,
83,Kenny Golladay,DET,WR,5,133.83,
84,Andy Isabella,ARI,WR,12,132.5,
85,Marvin Jones,DET,WR,5,131.68,
86,Jared Cook,NO,TE,9,108.37,
87,Austin Ekeler,LAC,RB,12,128.04,
88,Robert Foster,BUF,WR,6,130.31,
89,N'Keal Harry,NE,WR,10,129.15,Leg | Questionable for Week 1
90,Matt Breida,SF,RB,4,126.41,
91,Kyler Murray,ARI,QB,12,238.54,
92,Amari Cooper,DAL,WR,8,127.09,Heel | Questionable for Week 1
93,Albert Wilson,MIA,WR,5,126.93,
94,Larry Fitzgerald,ARI,WR,12,126.89,
95,Tyler Boyd,CIN,WR,9,126.69,
96,Dante Pettis,SF,WR,4,126.3,Groin | Questionable for Week 1
97,Jameis Winston,TB,QB,7,231.68,
98,Carlos Hyde,KC,RB,12,120.9,
99,DeSean Jackson,PHI,WR,10,121.72,Finger | Questionable for Week 1
100,Kareem Hunt,CLE,RB,7,118.26,Suspension | Suspended until Week 10
101,Josh Allen,BUF,QB,6,223.18,
102,Latavius Murray,NO,RB,9,117.63,Undisclosed | Questionable for Week 1
103,Dexter Williams,GB,RB,11,116.97,
104,Andy Dalton,CIN,QB,9,221.6,
105,Baker Mayfield,CLE,QB,7,220.81,
106,Alexander Mattison,MIN,RB,12,116.4,
107,Frank Gore,BUF,RB,6,116.17,
108,Karan Higdon,HOU,RB,10,115.18,
109,Sammy Watkins,KC,WR,12,117.25,
110,Mitchell Trubisky,CHI,QB,6,216.32,
111,Mohamed Sanu,ATL,WR,9,115.76,
112,T.J. Yeldon,BUF,RB,6,113.33,
113,Peyton Barber,TB,RB,7,113.21,
114,Matthew Stafford,DET,QB,5,211.46,
115,Gus Edwards,BAL,RB,8,110.01,
116,Bryce Love,WAS,RB,10,109.94,Knee - ACL | Out for Week 1
117,Kyle Rudolph,MIN,TE,12,93.01,
