Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Todd Gurley,LAR,RB,9,304.39,Knee | Questionable for Week 1
2,Saquon Barkley,NYG,RB,11,296.58,
3,Melvin Gordon,LAC,RB,12,277.3,
4,Alvin Kamara,NO,RB,9,277.18,
5,Ezekiel Elliott,DAL,RB,8,268.34,
6,Christian McCaffrey,CAR,RB,7,233.27,
7,Antonio Brown,OAK,WR,6,237.44,
8,Le'Veon Bell,NYJ,RB,4,232.56,
9,Tyreek Hill,KC,WR,12,216.32,
10,Davante Adams,GB,WR,11,214.1,
11,Phillip Lindsay,DEN,RB,10,208.83,
12,Leonard Fournette,JAC,RB,10,201.05,
13,Travis Kelce,KC,TE,12,168.78,Ankle | Questionable for Week 1
14,James Conner,PIT,RB,7,194.18,
15,Julio Jones,ATL,WR,9,192.66,Foot | Questionable for Week 1
16,Joe Mixon,CIN,RB,9,188.46,
17,David Johnson,ARI,RB,12,187.16,
18,Michael Thomas,NO,WR,9,187.15,
19,Zach Ertz,PHI,TE,10,152.56,
20,Adam Thielen,MIN,WR,12,182.53,
21,Odell Beckham,CLE,WR,7,182.4,
22,Nick Chubb,CLE,RB,7,177.16,
23,Mike Evans,TB,WR,7,179.43,Hamstring | Questionable for Week 1
24,JuJu Smith-Schuster,PIT,WR,7,176.08,
25,Brandin Cooks,LAR,WR,9,175.45,
26,Jordan Howard,PHI,RB,10,172.08,
27,Mark Ingram,BAL,RB,8,167.44,
28,Darrell Henderson,LAR,RB,9,166.96,
29,Marlon Mack,IND,RB,6,164.82,
30,Stefon Diggs,MIN,WR,12,166.47,
31,Dalvin Cook,MIN,RB,12,161.36,
32,Tevin Coleman,SF,RB,4,160.08,
33,A.J. Green,CIN,WR,9,161.96,Toe | Questionable for Week 1
34,Chris Carson,SEA,RB,11,158.91,Knee | Questionable for Week 1
35,Lamar Miller,HOU,RB,10,158.57,
36,James White,NE,RB,10,157.82,
37,Aaron Jones,GB,RB,11,157.3,
38,Kerryon Johnson,DET,RB,5,154.63,
39,Keenan Allen,LAC,WR,12,157.36,
40,Robert Woods,LAR,WR,9,155.94,
41,T.Y. Hilton,IND,WR,6,154.99,Ankle | Questionable for Week 1
42,Trayveon Williams,CIN,RB,9,151.57,
43,Eric Ebron,IND,TE,6,127.9,Groin | Questionable for Week 1
44,David Montgomery,CHI,RB,6,150.71,
45,O.J. Howard,TB,TE,7,126.72,
46,George Kittle,SF,TE,4,126.46,Hip | Questionable for Week 1
47,Derrick Henry,TEN,RB,11,149.12,
48,Calvin Ridley,ATL,WR,9,150.52,
49,LeSean McCoy,BUF,RB,6,144.98,
50,Devin Singletary,BUF,RB,6,143.25,
51,Cooper Kupp,LAR,WR,9,145.75,Knee - ACL | Questionable for Week 1
52,Tarik Cohen,CHI,RB,6,137.34,
53,A.J. Brown,TEN,WR,11,138.31,
54,Myles Gaskin,MIA,RB,5,135.78,
55,N'Keal Harry,NE,WR,10,137.76,
56,Kenyan Drake,MIA,RB,5,135.04,
57,Alshon Jeffery,PHI,WR,10,137.48,Ribs | Questionable for Week 1
58,Tyler Lockett,SEA,WR,11,136.54,
59,Jarvis Landry,CLE,WR,7,136.53,
60,Will Fuller,HOU,WR,10,136.28,Knee - ACL | Questionable for Week 1
61,Amari Cooper,DAL,WR,8,135.57,
62,Evan Engram,NYG,TE,11,112.41,Hamstring | Questionable for Week 1
63,Dante Pettis,SF,WR,4,134.72,
64,Emmanuel Sanders,DEN,WR,10,134.6,Achilles | Questionable for Week 1
65,Miles Sanders,PHI,RB,10,131.87,Hamstring | Questionable for Week 1
66,Justice Hill,BAL,RB,8,131.84,
67,Adrian Peterson,WAS,RB,10,131.78,
68,Andy Isabella,ARI,WR,12,132.5,
69,Julian Edelman,NE,WR,10,131.84,Thumb | Questionable for Week 1
70,Jared Cook,NO,TE,9,108.37,
71,Austin Ekeler,LAC,RB,12,128.04,
72,DeSean Jackson,PHI,WR,10,129.84,
73,Latavius Murray,NO,RB,9,125.48,
74,Larry Fitzgerald,ARI,WR,12,126.89,
75,Tyler Boyd,CIN,WR,9,126.69,
76,Marquise Brown,BAL,WR,8,126.52,Foot | Out for Week 1
77,Kenny Golladay,DET,WR,5,125.46,Chest | Questionable for Week 1
78,David Sills,BUF,WR,6,123.93,Hamstring | Questionable for Week 1
79,Marvin Jones,DET,WR,5,123.45,Knee | Questionable for Week 1
80,Carlos Hyde,KC,RB,12,120.9,
81,Robert Foster,BUF,WR,6,122.17,Foot | Questionable for Week 1
82,Matt Breida,SF,RB,4,118.51,Pectoral | Questionable for Week 1
83,Kareem Hunt,CLE,RB,7,118.26,Suspension | Suspended until Week 10
84,Dexter Williams,GB,RB,11,116.97,
85,Albert Wilson,MIA,WR,5,119.0,Hip - Labrum | Questionable for Week 1
