Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Greg Zuerlein,LAR,K,9,173.05,
2,Justin Tucker,BAL,K,8,171.05,
3,Robbie Gould,SF,K,4,153.21,
4,Jason Myers,SEA,K,11,151.32,
5,Wil Lutz,NO,K,9,136.35,
6,Ka'imi Fairbairn,HOU,K,10,134.9,
7,Matt Prater,DET,K,5,133.15,
8,Dustin Hopkins,WAS,K,10,128.55,
9,Stephen Gostkowski,NE,K,10,127.75,
10,Ryan Succop,TEN,K,11,124.15,
11,Mason Crosby,GB,K,11,122.3,
12,Aldrick Rosas,NYG,K,11,118.6,
13,Josh Lambo,JAC,K,10,117.56,
14,Adam Vinatieri,IND,K,6,117.38,
15,Giorgio Tavecchio,ATL,K,9,116.6,
16,Harrison Butker,KC,K,12,114.88,
17,Stephen Hauschka,BUF,K,6,114.15,
18,Jake Elliott,PHI,K,10,103.5,
19,Graham Gano,CAR,K,7,98.81,Leg | Questionable for Week 1
20,Dan Bailey,MIN,K,12,97.79,
21,Brandon McManus,DEN,K,10,96.6,
22,Cairo Santos,TB,K,7,95.86,
23,Brett Maher,DAL,K,8,90.75,
24,Chandler Catanzaro,NYJ,K,4,90.73,
25,Randy Bullock,CIN,K,9,89.65,
26,Chris Boswell,PIT,K,7,80.12,
27,Michael Badgley,LAC,K,12,78.0,
28,Daniel Carlson,OAK,K,6,75.0,
29,Austin Seibert,CLE,K,7,70.2,
30,Matt Bryant,FA,K,,69.35,
31,Zane Gonzalez,ARI,K,12,66.46,
32,Greg Joseph,CLE,K,7,59.14,
33,Jason Sanders,MIA,K,5,57.75,
34,Cody Parkey,FA,K,,48.95,
35,Matt Gay,TB,K,7,45.72,
36,Eddy Pineiro,CHI,K,6,0.0,
