Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Deshaun Watson,HOU,QB,10,314.27,
2,Matt Ryan,ATL,QB,9,311.76,
3,Drew Brees,NO,QB,9,308.08,
4,Aaron Rodgers,GB,QB,11,297.47,
5,Patrick Mahomes,KC,QB,12,287.34,
6,Ben Roethlisberger,PIT,QB,7,279.15,
7,Russell Wilson,SEA,QB,11,274.54,
8,Philip Rivers,LAC,QB,12,268.48,
9,Tom Brady,NE,QB,10,267.58,
10,Andrew Luck,IND,QB,6,264.78,
11,Dak Prescott,DAL,QB,8,259.91,
12,Kirk Cousins,MIN,QB,12,256.49,
13,Carson Wentz,PHI,QB,10,256.22,
14,Cam Newton,CAR,QB,7,254.88,Foot | Questionable for Week 1
15,Jared Goff,LAR,QB,9,249.49,
16,Kyler Murray,ARI,QB,12,238.54,
17,Jameis Winston,TB,QB,7,231.68,
18,Josh Allen,BUF,QB,6,223.18,
19,Andy Dalton,CIN,QB,9,221.6,
20,Baker Mayfield,CLE,QB,7,220.81,
21,Mitchell Trubisky,CHI,QB,6,216.32,
22,Matthew Stafford,DET,QB,5,211.46,
23,Derek Carr,OAK,QB,6,204.3,
24,Eli Manning,NYG,QB,11,204.19,
25,Ryan Fitzpatrick,MIA,QB,5,200.26,
26,Marcus Mariota,TEN,QB,11,198.47,
27,Joe Flacco,DEN,QB,10,196.93,
28,Dwayne Haskins,WAS,QB,10,194.17,
29,Blake Bortles,LAR,QB,9,189.26,
30,Nick Mullens,SF,QB,4,179.16,
31,Case Keenum,WAS,QB,10,177.07,
32,Sam Darnold,NYJ,QB,4,169.61,
33,Will Grier,CAR,QB,7,168.93,
34,Ryan Tannehill,TEN,QB,11,165.74,
35,Tyrod Taylor,LAC,QB,12,154.41,
36,Nick Foles,JAC,QB,10,139.44,
37,Lamar Jackson,BAL,QB,8,138.38,
38,Drew Lock,DEN,QB,10,134.33,Thumb | Doubtful for Week 1
39,Daniel Jones,NYG,QB,11,127.45,
40,Jimmy Garoppolo,SF,QB,4,119.4,
41,Josh Rosen,MIA,QB,5,87.5,
42,Taysom Hill,NO,QB,9,33.25,
43,Robert Griffin III,BAL,QB,8,30.86,Thumb | Questionable for Week 1
44,Teddy Bridgewater,NO,QB,9,2.16,Illness | Questionable for Week 1
