Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
1,Todd Gurley,LAR,RB,9,304.39,Knee | Questionable for Week 1
2,Saquon Barkley,NYG,RB,11,296.58,
3,Melvin Gordon,LAC,RB,12,277.3,
4,Alvin Kamara,NO,RB,9,277.18,
5,Ezekiel Elliott,DAL,RB,8,268.34,
6,Christian McCaffrey,CAR,RB,7,233.27,
7,Le'Veon Bell,NYJ,RB,4,232.56,
8,Phillip Lindsay,DEN,RB,10,208.83,
9,Leonard Fournette,JAC,RB,10,201.05,
10,James Conner,PIT,RB,7,194.18,
11,Joe Mixon,CIN,RB,9,188.46,
12,David Johnson,ARI,RB,12,187.16,
13,Nick Chubb,CLE,RB,7,177.16,
14,Jordan Howard,PHI,RB,10,172.08,
15,Mark Ingram,BAL,RB,8,167.44,
16,Darrell Henderson,LAR,RB,9,166.96,
17,Marlon Mack,IND,RB,6,164.82,
18,Dalvin Cook,MIN,RB,12,161.36,
19,Tevin Coleman,SF,RB,4,160.08,
20,Chris Carson,SEA,RB,11,158.91,Knee | Questionable for Week 1
21,Lamar Miller,HOU,RB,10,158.57,
22,James White,NE,RB,10,157.82,
23,Aaron Jones,GB,RB,11,157.3,
24,Kerryon Johnson,DET,RB,5,154.63,
25,Trayveon Williams,CIN,RB,9,151.57,
26,David Montgomery,CHI,RB,6,150.71,
27,Derrick Henry,TEN,RB,11,149.12,
28,LeSean McCoy,BUF,RB,6,144.98,
29,Devin Singletary,BUF,RB,6,143.25,
30,Tarik Cohen,CHI,RB,6,137.34,
31,Myles Gaskin,MIA,RB,5,135.78,
32,Kenyan Drake,MIA,RB,5,135.04,
33,Miles Sanders,PHI,RB,10,131.87,Hamstring | Questionable for Week 1
34,Justice Hill,BAL,RB,8,131.84,
35,Adrian Peterson,WAS,RB,10,131.78,
36,Austin Ekeler,LAC,RB,12,128.04,
37,Latavius Murray,NO,RB,9,125.48,
38,Carlos Hyde,KC,RB,12,120.9,
39,Matt Breida,SF,RB,4,118.51,Pectoral | Questionable for Week 1
40,Kareem Hunt,CLE,RB,7,118.26,Suspension | Suspended until Week 10
41,Dexter Williams,GB,RB,11,116.97,
42,Karan Higdon,HOU,RB,10,115.18,
43,T.J. Yeldon,BUF,RB,6,113.33,
44,Peyton Barber,TB,RB,7,113.21,
45,Gus Edwards,BAL,RB,8,110.01,
46,Bryce Love,WAS,RB,10,109.94,Knee - ACL | Questionable for Week 1
47,C.J. Anderson,DET,RB,5,109.76,
48,Bilal Powell,NYJ,RB,4,109.41,
49,Frank Gore,BUF,RB,6,108.91,Foot | Out for Week 1
50,Joshua Jacobs,OAK,RB,6,107.8,
51,Alex Barnes,TEN,RB,11,106.98,
52,Dion Lewis,TEN,RB,11,105.62,
53,Doug Martin,OAK,RB,6,105.06,
54,Jaylen Samuels,PIT,RB,7,105.06,
55,Alexander Mattison,MIN,RB,12,102.43,
56,Elijah McGuire,NYJ,RB,4,101.48,
57,Royce Freeman,DEN,RB,10,101.46,
58,Darwin Thompson,KC,RB,12,99.95,
59,Devonta Freeman,ATL,RB,9,99.62,
60,Jamaal Williams,GB,RB,11,96.43,
61,Spencer Ware,IND,RB,6,96.3,
62,Damien Williams,KC,RB,12,94.7,
63,Devine Ozigbo,NO,RB,9,94.1,
64,Duke Johnson,CLE,RB,7,93.7,
65,Nyheim Hines,IND,RB,6,93.46,
66,Zach Zenner,DET,RB,5,92.92,
67,Mike Davis,CHI,RB,6,92.56,
68,Darren Sproles,PHI,RB,10,92.28,
69,Justin Jackson,LAC,RB,12,91.36,
70,Damien Harris,NE,RB,10,91.03,
71,Jerick McKinnon,SF,RB,4,90.96,Knee - ACL | Questionable for Week 1
72,Josh Adams,PHI,RB,10,90.21,Shoulder | Questionable for Week 1
73,Kenneth Dixon,BAL,RB,8,88.42,
74,Wendell Smallwood,PHI,RB,10,88.23,
75,Travis Homer,SEA,RB,11,85.5,
76,Ryquell Armstead,JAC,RB,10,84.92,Hamstring | Questionable for Week 1
77,Giovani Bernard,CIN,RB,9,83.81,
78,Chris Thompson,WAS,RB,10,83.53,
79,Mike Weber,DAL,RB,8,83.06,
80,Javorius Allen,NO,RB,9,82.32,
81,Ty Montgomery,NYJ,RB,4,82.08,
82,Ito Smith,ATL,RB,9,81.88,
83,Qadree Ollison,ATL,RB,9,81.1,
84,Theo Riddick,DET,RB,5,80.84,
85,Jalen Richard,OAK,RB,6,79.83,
86,Elijah Holyfield,CAR,RB,7,77.67,
87,Rex Burkhead,NE,RB,10,77.17,
88,Damarea Crockett,HOU,RB,10,76.1,
89,D'Onta Foreman,HOU,RB,10,74.89,
90,Rashaad Penny,SEA,RB,11,73.87,
91,Alfred Blue,JAC,RB,10,70.49,
92,Corey Clement,PHI,RB,10,69.68,Knee | Questionable for Week 1
